title	id	price	clicks	unpaid clicks	sale price	condition	availability	Dynamic Remarketing - active	Dynamic Remarketing - disapproved or invalid	Enhanced free listings - active	Free listings - active	Shopping ads - active	channel	country	language	additional image link	age group	brand	color	custom label 0	custom label 1	custom label 2	description	gender	google product category	gtin	identifier exists	image link	item group id	link	mpn	note	product type	sell on google quantity	shipping weight	size	tax(rate)
"10 pcs Medium Lead Graphite Sketch Pencil Set | Sketching Pencils, Graphite Pencils, Shading Pencils for Sketching, Art Pencils for Drawing and"	shopify_US_6863647342744_40374890135704	9.99 USD	1	0			in stock	US,GB		US,GB	US,GB	US,GB	Online	US	en	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/2_9daee8d3-ff8a-403a-8085-178a53ba2f5c.jpg?v=1640859537,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/3_55b986cf-00b1-4a6e-9d69-ab8a81716d29.jpg?v=1640859537,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/4_9c2bb4dc-5477-4b81-9a5b-03cf911e0b01.jpg?v=1640859537,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/5_c4295f95-9517-4f8e-aefa-0dee01d26ca9.jpg?v=1640859537,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/6_fdbe5a58-3462-4ae1-8d5b-072e27283221.jpg?v=1640859537,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/7_82d9b23b-cd48-4756-9bf2-020125f525d2.jpg?v=1640859545		Grabie			Drawing Tools		"This valuable set includes 10 medium sketch pencils. They are mixed with the finest clays and wood encased. Our pencils contain flexible charcoal of the highest quality for scratch-free marks. These pencils are super pigmented, smooth, layered nicely, none cracked, and easy to sharpen. Get the traditional effect of charcoal with more control and less mess. Great for detailing, sketching, drawing, shading, and blending. FREEDOM OF EXPRESSION - Create beautiful, broad strokes by holding the pencils at an angle or achieving fine details using the sharpened point. Great shading & blending capability, crafting detailed illustrations & textured shading like professional artists, journaling, photorealistic drawings, sketching, blending, shading, smudging, and adding texture. NON-TOXIC & ECO-FRIENDLY - Non-toxic and eco-friendly friendly pencils conform to strict ASTM D-4236 and EN71 standards. Drawing pencils enable creating lines of any thickness and color saturation, Suitable for crafting fine, detailed illustrations & textured shading. Special bonding makes the graphite leads extra break-resistant and contains evenly distributed graphite resulting In a longer-lasting point. BREAK-RESISTANT LEAD - These graphite pencils are break-resistant lead. They are glued entirely to ensure limitless drawing and easy sharpening. IMPRESSIVE GIFT - High-quality pencils will please everyone from the beginning artist to the professionals. Perfect for budding artists and amateurs of all ages looking to develop their drawing skills. Best gift for children to build their creativity."		3026	6957574829046	yes	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/1_37f4245a-8fc0-40d7-8567-10cf09d74eb8.jpg?v=1640859537		https://www.grabie.cc/products/12-pcs-medium-lead-graphite-sketch-pencil-set?variant=40374890135704&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	BAS21060241100		Art Supplies	1999	0 kg		0
Christmas Gift Needle Felting Kits Shiba Inu	shopify_US_7474975768829_42110940938493	18.99 USD	0	0		new	in stock	US,GB		US,GB	US,GB	US,GB	Online	US	en	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01NsZXdc1g193N55uNv__2210815474081-0-cib.jpg?v=1638172566,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01vOAiz21g1936uDft9__2210815474081-0-cib.jpg?v=1638172566,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01Zp1cZo1g193GQIF21__2210815474081-0-cib.jpg?v=1638172566,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN013bQBgE1g193M7fVEy__2210815474081-0-cib.jpg?v=1638172566,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01Dk2kK71g193LNjrS3__2210815474081-0-cib.jpg?v=1638172566,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01eWgE7M1g193GQLOfT__2210815474081-0-cib.jpg?v=1638172566		Grabie					"Needle felting is a good way to increase relationships between children and parents or relieve stress from work and study. Using this felting kit you will get an unexpected perfect experience. VALUE WOOL FELT KIT - The wool felting kits come with a product box, including making a material bag, 1 x foam pad, 1 x instruction, 2 x plastic black eyes, 4 x felting needles. ECO-FRIENDLY WOOL ROVING - We choose top-quality natural wool without lumps and random junk, safe and eco-friendly for everybody use. With easy steps instructions, it also can be used as a wonderful children's day product for your kids or your friend's child. EASY TO ORGANIZE & CARRY - All felting supplies are packaged in a storage product case, easy to organize and carry. With the wool felt mat and fingercot, you don't worry about finger injured, especially suitable for beginners. EASY TO USE - 1 character can be created in about 3-5 hours, and 3 different dog characters can be created with this felting tool kit, which is easy to operate and easy to use. THE PERFECT GIFT - The cute wool felt doll is a perfect gift for children, and can also be used as a parent-child activity to enhance the feelings between family members. This unique DIY activity will stimulate children's imagination and stimulate their creativity."		4986		yes	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN016BIlSj1g193KHV3FN__2210815474081-0-cib.jpg?v=1638172566		https://www.grabie.cc/products/christmas-gift-needle-felting-kits?variant=42110940938493&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	BCH21110521100		Crafts & Hobbies	999	0 kg		0
24 Pcs Professional Paint Brush Set With Natural Wood Handles | 24 pcs Paint Enhanced Synthetic Brush Set with Canvas Roll and Palette Knife	shopify_US_7521465270525_42244035543293	39.99 USD	0	0	28.99 USD		in stock	US,GB		US,GB	US,GB	US,GB	Online	US	en	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01imKqZb1eTQHl5Ifd0__2207598183872-0-cib.jpg?v=1641440979,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/121222.jpg?v=1641440979,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/2_b281d277-e40b-4d39-aac2-f38a9e2ad58b.jpg?v=1641440979,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/6_54eddfaf-c39d-433b-9d77-28363ca493aa.jpg?v=1641440979,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/52_5b76c4b5-8e70-4b61-8953-ce4b6c73b3b8.jpg?v=1641440979,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/2_e591c77b-79cb-4405-bd1b-e2e9940e6f79.jpg?v=1641440979,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ckt.jpg?v=1641440982,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/24.jpg?v=1641440982,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/24_e1c5e477-0721-4f20-89f2-7a9b4313afc4.jpg?v=1641440982		Grabie					"This brush set is perfect for every level of artist from beginners to professionals. If you are looking for elegantly made paintbrushes for personal use or as a gift, our high-quality nylon paintbrushes set will be ideal for you. GREAT PROFESSIONAL ART BRUSH SET - 24 different sizes of paintbrushes with a portable carrying case, a palette knife, and a bristle bright brush. It’s the perfect all-inclusive paintbrush gift set for all artists. This set includes 24 high-quality, synthetic watercolor brushes: one-bright brush, size 1; seven-round brushes, sizes 16, 12, 10, 8, 4, 2, and 1; four-flat brushes size 14, 10, 4, and 2; four-angular brushes, size 14, 8, 6, and 4; two-fan brush, size 8 and 4; five-filbert brush, size 14, 10, 8, 6, 4 and a palette knife. PREMIUM QUALITY PAINTBRUSH - Made of high-quality nylon hair, it is sturdy, durable, and with good elasticity, to mimic natural hair. PORTABLE PAINT BRUSH SET - This package includes a portable canvas bag. With this case, it's more easy and convenient to store and organize 24 pieces of paintbrushes and accessories. PERFECT FOR ALL TYPES OF PAINTING - Our paintbrush set is designed to work best with gouache paint, but they are also great when working with acrylic paint, watercolor, and ink. Ideal for use on canvas, card, or paper. This set is the perfect addition to your painting supplies whether a professional artist, hobbyist, or student just starting out. paint brush set, paint brushes, artist paint brushes, acrylic paint brush set, acrylic paint brushes, acrylic paint, art supplies, artist brush, art set, acrylic paint set, professional paint brushes, art brushes, paint art, paint set, paint supplies, artist brush set, paint brush drawing, paint brush sizes, drawing supplies, paint brushes for acrylic paint, watercolor paint set, best paint brushes for acrylic paint, professional artist paint brush set, professional art supplies, artist supplies, art paint brushes, best art supplies, oil paint brushes, professional artist paint brushes, paint artist, detail paint brushes, best acrylic paint brushes, art brush set, water paint art, watercolor paint brushes, acrylic brush set, watercolor brush set, paint and brush, best paint brush set, water paint brush, art products, art painting supplies, professional watercolor paints, best paint brushes for artists, best paint brush, good quality paint brushes, artist paint brush set, professional acrylic paint set, oil paint brush set, wood items, wooden paint palette, professional paint brush set, best oil paint brushes, quality paint brushes, best acrylic paint brushes for professionals, paint painting, best watercolor paints for professionals, paint brush case, professional art, watercolor paint brush set, wood painting art, water paint set, paint watercolor, art items, paint brush painting, paint and paint brushes, set supplies, acrylic paint supplies, wood paint brush, paint and brush set, professional paint, professional art set, best acrylic paint brush set, watercolor set with brush, acrylic paint and brush set, acrylic art set, art paint brush set, acrylic supplies, best quality paint brushes, artist paint set, professional acrylic paint brushes, high quality paint brushes, set art, hair paint brush, brush painting art, watercolor art supplies, artist acrylic paint set, high quality artist paint brushes, artist paint supplies, natural hair paint brushes, best professional watercolor paints, paint set with brushes, art brushes for acrylic painting, professional painting set, art with paint, acrylic paint brush sizes, best watercolor paint brushes, art paint set, professional drawing supplies, paint brush uses, natural paint brush, set painting, best paint brushes for art, canvas painting brush set, canvas paint brushes, best paint brush set for artists, best paint brushes for oil painting, acrylic paint set with brushes and canvas, paint items, professional oil paint brushes, professional acrylic brushes, best paint brush set for acrylic, professional oil painting supplies, paint with brush, art to paint, paint and paint brush set, best professional acrylic paint brushes, good paint brushes for acrylic paint, all painting brush set, brush for paint, art supplies online shop, good acrylic paint brushes, art supplies set, acrylic paint with brush set, best artist brushes, professional acrylic paint brush set, high quality art supplies, paint brush set for acrylic, natural brushes, artist oil paint supplies, paint brush with paint, paint brush handle, best professional paint brushes, professional painting supplies, the paint brush, set of brushes for painting, watercolor paint supplies, a paint brush, detail paint brush set, artist brush sizes, paint brush set professional, 24 acrylic paint set, paint brush paint brush, professional art brushes, brush paint brush, paint acrylic paint, paint brushes for oil paint, water paint brush set, best oil painting brushes for professional artists, 24 set"				yes	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01Bot0bH1eTQHpNMTAR__2207598183872-0-cib.jpg?v=1641440979		https://www.grabie.cc/products/24-pcs-acrylic-paint-brush-set-with-nautrlal-wood-handles?variant=42244035543293&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	BAS21121091100		Art Supplies	978	0 kg		0
Colorful World Photo Frame DIY Diamond Art kit Sunflower	shopify_US_7482938818813_42144656720125	19.99 USD	0	0			in stock	US,GB		US,GB	US,GB	US,GB	Online	US	en	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN010VrRDM1LmDpoKVbP5__3521571341-0-cib.jpg?v=1638358532,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01itKahU1LmDpmrnwrQ__3521571341-0-cib.jpg?v=1638358532,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01eCvIyX1LmDpmrX6DU__3521571341-0-cib.jpg?v=1638358532		Grabie					"Take the paint by number technique to a shimmering, new level with the colorful world photo frame DIY diamond art kit! This kit features everything you'll need to create a dazzling work of art. Easily grip the gems with the stylus and follow the instructions to create a beautiful piece of artwork that you'll be proud to display anywhere! HIGH QUALITY - The diamond painting kit of environmental protection material and never fade drills. Canvas is clear with symbols. The gems sparkling, strong third dimension so diamond painting kit vivid image. FASCINATING DECORATION - With patience and perseverance, you can create a wonderful work of art that will bring energy and vitality to your space. ENJOY DIY FUN - Diamond painting kits for adults/kids can enhance kids' hands-on ability, enrich adult space-time and be a good bonding experience for the family. These size diamond dots accessories are suitable for beginners and can be completed quickly. DIMENSIONS - The length is 9 inches and the width is 7.1 inches. The kit contains 1 - printed fabric piece, some colored rhinestones, 1 - stylus, 1 - craft tray, 1 - viscose, 1 - photo frame."		504639		yes	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01D3nhxc1LmDppqHJV6__3521571341-0-cib.jpg?v=1638358532		https://www.grabie.cc/products/colorful-world-photo-frame-diy-diamond-art-kit?variant=42144656720125&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	BCH21110453100		Crafts & Hobbies	999	0 kg		0
6 Pcs 5-Color Gradient Ink Stamp Pad Set	shopify_US_7496191508733_42177347158269	19.99 USD	0	0			in stock	US,GB		US,GB	US,GB	US,GB	Online	US	en	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000003_08935e1d-a987-4605-8653-f2068e8c6fd9.jpg?v=1638953894,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000004_c5cf1cfb-01ed-4b75-8c46-1651b20e601b.jpg?v=1638953894,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000005.jpg?v=1638953894,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01fULfrH1cpHxToOmkz__972333649-0-cib.jpg?v=1638953894,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000008.jpg?v=1638953894,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000012.jpg?v=1638953894,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000007.jpg?v=1638953894,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000011.jpg?v=1638953894,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000009.jpg?v=1638953894,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000010.jpg?v=1638953894		Grabie					"This 6 pcs 5-color gradient ink stamp pad set is the perfect way to start stamping unique designs on every project! You'll be able to achieve richly pigmented color every time, ideal for stamping and embossing. VARIOUS COLORS - There are 6 separate small cases in this set. Including 5 gradient color series and one five-color series. It is great DIY crafts and gifts for children, creating a great finger painting. Size of the individual pad: 3.94 * 2.76 inches. CONVENIENT STORAGE - Each pad has its own little storage case made out of sturdy plastic. Not only does this keep the ink safely stored but the cases stack very neatly to keep your play or artwork area neat and tidy. QUICK DRY - These bright bold colors show up very nice on paper, quick-drying, don't smear, stay permanent. Let your child use these alone with no worry, as the ink is very easy to clean off from the skin. WIDE OCCASIONS - These Ink pads applicable to fabric, wood, paper, scrapbooking card-making, posters, notepads, journals, are excellent for many different kinds of projects. And the ink pads are waterproof after the ink is dry on paper."				yes	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/ia_100000002_e359c103-ccf7-402a-ba2e-49be8e09f697.jpg?v=1638953892		https://www.grabie.cc/products/6-pcs-5-color-gradient-ink-stamp-pad-set?variant=42177347158269&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	BCH21120141100		Crafts & Hobbies	999	0 kg		0
Ultra Soft Silicone Toilet Brush And Holder Set	shopify_US_6874121535640_40409968279704	31.99 USD	0	1	18.99 USD		in stock	US,GB		US,GB	US,GB	US,GB	Online	US	en	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/2_a6621d09-e849-46b7-bb3d-8498a4dad325.jpg?v=1638164625,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/3_4bc0b2c8-b113-4c20-9f6e-5d714b837c72.jpg?v=1638164625,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/4_96b5de17-23d6-47ad-bcc7-cde750fa3514.jpg?v=1638164626,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/5_ad5d5cc6-d35d-469d-a751-1567380b9100.jpg?v=1638164627,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/6_50df4e45-a0ce-4f7e-9675-f8c43c0f552f.jpg?v=1638164627,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/7_458d5013-b979-40d2-8ff3-b7f67f221f14.jpg?v=1638164628,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/8_7c3d5f58-deb2-4952-b3bf-f16fd0045496.jpg?v=1638164629,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/9_4d5671ff-d055-4cde-9c31-aa62b766c48d.jpg?v=1638164629,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/11_4a27073d-458a-450b-be93-883c933c425c.jpg?v=1638164630,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/10_4e6b59f5-8f75-4a79-9e27-38409d03a812.jpg?v=1638164631		Grabie					"TPR SOFE TONGUE BRUSH HEAD - The toilet bowl brush and holder are made of high-quality TPR material, which has stronger cleaning power than the traditional hard-bristled toilet brush. 360 Degree Rotation can brush all dead corners and grooves inside the toilet without damaging the glaze of the toilet. PUNCH-FREE WALL MOUNTED BASE - The wall-mounted design of the toilet brush base is quick-drying and easy to install. It is designed for more storage and space-saving and does not fall off easily. The new feature automatic opening and closing switch makes your life much easier. HUMANIZED HANDLE DESIGN - Ergonomic curved handle, let you have comfortable touch and saving more time and energy, Simple look of the toilet bowl brush can go with any style of bathroom. VENTILATION & DRY - The bottom vent of the toilet bowl cleaner brush also helps keep the brush head dry, prevents toilet water accumulates, gives off a bad smell, stays neat and clean. MULI-FUNCTIONAL - The toilet brush and holder set can be used for clean sink, washbasin, and bathtubs, as well as all-ceramic plastic glass surfaces and so on, Simple and practical, hygienic and healthy."				yes	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/1_6e5f2e97-109f-4315-ba43-293b8a60ba0a.jpg?v=1638164624		https://www.grabie.cc/products/ultra-soft-silicone-toilet-brush-and-holder-set?variant=40409968279704&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	CCT21060031100		Household Supply	1997	0 kg		0
Mountain Charming Embroidery Kits With Wooden Pedestal White Tower	shopify_US_7466522345725_42092549079293	21.99 USD	0	0			in stock	US,GB		US,GB	US,GB	US,GB	Online	US	en	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/aft-Handwork-Needlework-Cross-Stitch-Kit-Cotton-Embroidery-Painting-Embroidery-Hoop-Home-Decor.jpg?v=1638167983,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/18458186474_536338835.jpg?v=1638167983,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/H825aeb9968904e239a82b13f3e9fcf24W.jpg?v=1638167983,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01kkgQc61WW9hrlaog9__2208324482795-0-cib.jpg?v=1638167983,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/18321084471_536338835.jpg?v=1638167983		Grabie					"Complete the perfect project one stitch at a time! Stitch your way to a beautiful creation with a peaceful sceneries embroidery kit. This gorgeous embroidery kit features beautiful flowers. Happily stitch your way to a beautiful scenery design that can be framed to be enjoyed for generations! FULL RANGE KIT - 1pc cotton fabric with a peaceful scenery pattern, 1 set of soft embroidery threads, 1 pc 9-inches embroidery hoop, embroidery needles, 1 pc wooden pedestal, 1pc instruction. SCENERY EMBROIDERY KIT - Two patterns to meet your demands, which are printed with pinky mountain and white tower. Great for decorating your home or display ornament. SUITABLE FOR BEGINNERS - The instructions include an illustration of embroidery, teaching you how to deal with embroidery floss, printed pattern, and the way to frame embroidery, suitable for beginners. PRECIOUS GIFT - Enjoy the process of DIY embroidery, embroider the words you want to express, and give them as a gift to your family or friends. That will be a meaningful and charming experience. Notice: The pattern is made of special ink, meet the water will disappear, do not touch the water before finishing."		7096		yes	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/18458135245_536338835.jpg?v=1638163529		https://www.grabie.cc/products/peaceful-mountain-embroidery-kits-with-wooden-pedestal?variant=42092549079293&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	BCH21110112100		Crafts & Hobbies	998	0 kg		0
6 Pcs Wool Hair Flat Paint Brush Set | Professional Portrait Landscape Artist Long Birchwood Handle Synthetic Nylon Wool Bristle Acrylic Watercolor	shopify_US_7126849192088_41323717689496	22.99 USD	0	0			in stock	US,GB		US,GB	US,GB	US,GB	Online	US	en	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/19945209139_891070386.jpg?v=1638162066,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20099333304_891070386.jpg?v=1638162067,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/19945419948_891070386.jpg?v=1638162067,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20019415091_891070386.jpg?v=1638162069,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/19945326738_891070386.jpg?v=1638162069		Grabie			Brush		"These painting brushes are made of silky-soft synthetic nylon wool hair with a smooth tapered point that presents flexible action, outstanding performance, and durability. THE PREMIUM ARTIST BRUSHES HEAD - These painting brushes are comprised of premium nylon wool hair that extends excellent liquid holding capacity. These brushes deliver great strokes while painting your masterpiece, without stray hairs. PERFECTLY BALANCED HANDLE - Lacquer polished long birchwood handle perfect for a comfortable hold and touch providing even greater control over finer details. STURDY FERRULE DURABLE - Seamless double-crimped rust-free nickel-plate aluminum ferrule guarantees frustration-free painting preventing any bristle shed, stray, or spread while painting. WIDE APPLICATION - Ideal for professional studios as well as academic applications suitable for various types of paint or medium projects including oil paint, acrylic, watercolor, gouache, and so on. Note: The set of 6 pcs brushes include: #1, #3, #5, #7, #9, #11."		18		yes	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/20099327456_891070386.jpg?v=1638162064		https://www.grabie.cc/products/6-pcs-wool-hair-flat-paint-brush-set?variant=41323717689496&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	BAS21110561100		Art Supplies	999	0 kg		0
48 Slots Pencils Canvas Case With Cartoon Patterns | Zippered Pencil Case-Canvas 48 Slots Handy Pencil Holders with Printing Pattern for Watercolor	shopify_US_7072525779096_41127165493400	17.99 USD	0	0			in stock	US,GB		US,GB	US,GB	US,GB	Online	US	en	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/11148631280_768248861.jpg?v=1638161807,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/11117409253_768248861.jpg?v=1638161807,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/11117430041_768248861.jpg?v=1638161809,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/11148628670_768248861.jpg?v=1638161809,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/11148643062_768248861.jpg?v=1638161810,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/11117421145_768248861.jpg?v=1638161812,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/11148616767_768248861.jpg?v=1638161812		Grabie					"This travel-friendly case is ideal for taking with you wherever you go, whether you’re in the studio or working outside. Pack this case in your backpack, messenger bag, carry-on, or tote - it has plenty of room on the inside while still being compact. The durable, polyester exterior and the secure zipper will be able to withstand any adventure you choose to bring this case on. HIGH CAPACITY - 2 Layers with 48 slots designed. Each compartment has two sides of elastic holders, roomy for all your pencils, pens, markers, and erasers/sharpeners. EXCELLENT MATERIAL - The pencil case is made of canvas. Not only looks comfortable but also easy to maintain and clean. MULTI-PURPOSE - Ideal case for art, office supplies. It can hold various tools such as a pencil, watercolor pencil, gel pen, marker, eraser in a pencil case. PORTABILITY - Canvas hook handle strap design with handy size, makes it very easy and convenient to carry anywhere for travel or outdoor work. WELL ORGANIZED - Each pen, pencil, marker has an individual elastic holder. Keep your art, office supplies well organized, easily accessible, and better protected."		3062		yes	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/11148610889_768248861.jpg?v=1638161806		https://www.grabie.cc/products/48-slots-pencils-canvas-case-with-cartoon-patterns?variant=41127165493400&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	BAS21100471100		Art Supplies	1997	0 kg		0
48 Watercolor Paint Set with 11 Pcs Miniature Detail Paint Brushes	shopify_US_7505355243773_42202117210365	73.98 USD	0	0	37.99 USD		in stock	US,GB		US,GB	US,GB	US,GB	Online	US	en	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/undefined_242877430_413287570204877_6284263582619431347_n_41d8374a-669a-476f-a03a-88b6f4b6f048.jpg?v=1639564760,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/48_09cd2a0f-ce4f-4864-896b-ce1aec979b36.jpg?v=1639564760,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/2_652fa342-f527-4437-a27f-f27e7dcc3576.jpg?v=1639564760,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/10_6bb943e4-7f55-4477-a5f4-fe9a24df52af.jpg?v=1639564760,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/9_b6e5669b-c69d-490a-b9ca-ad0155ff6658.jpg?v=1639564760,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01zf6CiA1uz3RewEBt2__2210970366107-0-cib_dd2a2936-9736-49e1-9cb1-fdbcba55045d.jpg?v=1639564760,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01Ii03eO1uz3RolZswM__2210970366107-0-cib_721f38c5-d40c-4c6b-a87f-fc0d8c8fd31e.jpg?v=1639564760,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01mqb2Vq1uz3RewD7NO__2210970366107-0-cib_1aeba513-e9c2-4f7c-8f73-147394648770.jpg?v=1639564760,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/O1CN01t6bLPQ1uz3Rt6nC5Z__2210970366107-0-cib_cb64f6b0-0181-4302-8e86-95a663be5e73.jpg?v=1639564760,https://cdn.shopify.com/s/files/1/0575/3323/5352/products/1O1CN01zf6CiA1uz3RewEBt2__2210970366107-0-cib_753060d6-e348-4148-8701-93d3ce4613e9.jpg?v=1639564760		Grabie					"The set includes a deluxe 48 watercolor paint set including 12 metallic colors and 11 pcs miniature detail paint brushes. Our watercolor kit features 48 captivating watercolor colors. With a wide variety of just about every color in the rainbow, you will find it easy to create colorful and creative works of art. 48 COLORS WATERCOLOR PAINT - This deluxe watercolor kit comes complete with 48 watercolor paint colors,1* watercolor brush, 1* refillable flexible nylon tip water brush pen, 1* drawing pencil, 1* eraser, 1* dabbing sponge, and 1* metal storage case. Lovers of painting will feel right at home with this set! HIGHLY PIGMENTED - Our paints are specially formulated to offer a high concentration of pigments while remaining easily resettable and blendable. Water-based colors dissolve and blend easily. Splatter, mix, blend, layer, and bleed for dramatic impressions. 11 MINIATURE BRUSHES - 11 different sizes to ensure that you always have the right paintbrush. The small paintbrush is secured with high-quality aluminum crimped ferrules, offers excellent liquid holding capacity that results in an easy, consistent smooth flow of paint. The handle is made of natural wood and designed easy-grip triangular shape, making you feel comfortable and secure while holding it. CUSTOMIZABLE & REUSABLE - Detachable 1.5ml half pan paints give you immediate access to your favorite colors. These reusable pans are easy to clean and manageable. IDEAL FOR GIFTS - With the combination of quality assurance and the sleek design of this product, this set would be the ideal upgrade or perfect gift for any artist."				yes	https://cdn.shopify.com/s/files/1/0575/3323/5352/products/SPU22.jpg?v=1639564760		https://www.grabie.cc/products/48-watercolor-paint-set-with-11-pcs-miniature-detail-paint-brushes?variant=42202117210365&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	BAS21120491100		Art Supplies	997	0 kg		0
